isPractice,frame,x,y,Participant,StudyID,SessionID
1,362,-154.0585938,2.66015625,anonymous,na,na
1,363,-154.7578125,5.92578125,anonymous,na,na
1,364,-155.2070313,9.42578125,anonymous,na,na
1,365,-155.234375,14.29296875,anonymous,na,na
1,366,-154.8789063,19.98828125,anonymous,na,na
1,367,-153.3789063,25.1328125,anonymous,na,na
1,368,-150.6132813,32.3046875,anonymous,na,na
1,369,-145.1210938,41.25,anonymous,na,na
1,370,-133.1914063,54.1640625,anonymous,na,na
1,371,-117.7148438,63.921875,anonymous,na,na
1,372,-82.671875,76.83203125,anonymous,na,na
1,373,-33.8359375,88.83984375,anonymous,na,na
1,374,11.79296875,95.734375,anonymous,na,na
1,375,87.09765625,103.90625,anonymous,na,na
1,376,152.0664063,109.2929688,anonymous,na,na
1,377,192.5429688,108.625,anonymous,na,na
1,378,238.3671875,104.484375,anonymous,na,na
1,379,271.3203125,97.45703125,anonymous,na,na
1,380,303.421875,84.484375,anonymous,na,na
1,381,345.625,58.80859375,anonymous,na,na
1,382,360.7773438,46.6640625,anonymous,na,na
1,383,366.5273438,33.08984375,anonymous,na,na
1,384,365.9726563,6.9921875,anonymous,na,na
1,385,355.2304688,-34.0859375,anonymous,na,na
1,386,333.9296875,-72.34375,anonymous,na,na
1,387,308.9765625,-96.328125,anonymous,na,na
1,388,271.9726563,-120.5898438,anonymous,na,na
1,389,233.40625,-137.6210938,anonymous,na,na
1,390,164.4140625,-152.7109375,anonymous,na,na
1,391,79.3203125,-160.2070313,anonymous,na,na
1,392,35.546875,-159.4023438,anonymous,na,na
1,393,-33.76171875,-150.1601563,anonymous,na,na
1,394,-82.890625,-135.5703125,anonymous,na,na
1,395,-111.6484375,-121.1835938,anonymous,na,na
1,396,-136.5,-99.7734375,anonymous,na,na
1,397,-146.6132813,-82.80078125,anonymous,na,na
1,398,-151.9101563,-62.06640625,anonymous,na,na
1,399,-154.5273438,-41.8125,anonymous,na,na
1,400,-152.234375,-15.23046875,anonymous,na,na
1,401,-144.9375,6.21484375,anonymous,na,na
1,402,-139.2382813,12.5859375,anonymous,na,na
1,403,-112.53125,28.19140625,anonymous,na,na
1,404,-76.5859375,42.12109375,anonymous,na,na
1,405,-28.12890625,53.3359375,anonymous,na,na
1,406,29.30078125,61.37109375,anonymous,na,na
1,407,69.37109375,63.875,anonymous,na,na
1,408,116.6445313,61.4140625,anonymous,na,na
1,409,175.0976563,51.7109375,anonymous,na,na
1,410,218.0039063,41.1171875,anonymous,na,na
1,411,279.1796875,19.703125,anonymous,na,na
1,412,313.7773438,3.86328125,anonymous,na,na
1,413,331.7460938,-10.40625,anonymous,na,na
1,414,352.8476563,-35.19140625,anonymous,na,na
1,415,368.1445313,-65.15625,anonymous,na,na
1,416,378.8867188,-95.12890625,anonymous,na,na
1,417,381.6835938,-110.7890625,anonymous,na,na
1,418,379.8789063,-128.53125,anonymous,na,na
1,419,369.5664063,-148.9335938,anonymous,na,na
1,420,348.09375,-168.7070313,anonymous,na,na
1,421,277.4335938,-204.6484375,anonymous,na,na
1,422,199.6601563,-226.4023438,anonymous,na,na
1,423,75.6484375,-241.6445313,anonymous,na,na
1,424,-92.61328125,-248.5429688,anonymous,na,na
1,425,-201.140625,-244.4101563,anonymous,na,na
1,426,-279.5078125,-230.8007813,anonymous,na,na
1,427,-341.3320313,-212.203125,anonymous,na,na
1,428,-370.78125,-196.5273438,anonymous,na,na
1,429,-402.0390625,-168.15625,anonymous,na,na
1,430,-417.0390625,-141.890625,anonymous,na,na
1,431,-425.15625,-104.609375,anonymous,na,na
1,432,-423.2929688,-74.58984375,anonymous,na,na
1,433,-414.828125,-44.72265625,anonymous,na,na
1,434,-404.3984375,-15.43359375,anonymous,na,na
1,435,-397.703125,-1.58203125,anonymous,na,na
1,436,-378.8984375,13.9609375,anonymous,na,na
1,437,-330.5742188,31.01953125,anonymous,na,na
1,438,-257.1210938,44.3203125,anonymous,na,na
1,439,-125.4023438,56.7109375,anonymous,na,na
1,440,-26.6015625,62.35546875,anonymous,na,na
1,441,32.76171875,60.15625,anonymous,na,na
1,442,107.8789063,51.01171875,anonymous,na,na
1,443,143.9453125,43.63671875,anonymous,na,na
1,444,176.4023438,32.59765625,anonymous,na,na
1,445,204.7148438,18.8203125,anonymous,na,na
1,446,245.2578125,-14.17578125,anonymous,na,na
1,447,272.953125,-48.50390625,anonymous,na,na
1,448,284.8984375,-71.6328125,anonymous,na,na
1,449,299.296875,-108.4609375,anonymous,na,na
1,450,305.9570313,-132.546875,anonymous,na,na
1,451,307.4414063,-148.3632813,anonymous,na,na
1,452,305.4804688,-166.171875,anonymous,na,na
1,453,301.3867188,-174.125,anonymous,na,na
1,454,287.1601563,-183.9101563,anonymous,na,na
1,455,256.8671875,-193.6875,anonymous,na,na
1,456,206.984375,-202.96875,anonymous,na,na
1,457,89.96484375,-209.0039063,anonymous,na,na
1,458,-57.40625,-199.8710938,anonymous,na,na
1,459,-144.5820313,-184.375,anonymous,na,na
1,460,-228.4882813,-161.6523438,anonymous,na,na
1,461,-295.8203125,-134.3515625,anonymous,na,na
1,462,-339.46875,-112.7265625,anonymous,na,na
1,463,-344.2617188,-109.4492188,anonymous,na,na
1,464,-348.4414063,-94.62109375,anonymous,na,na
1,465,-348.6132813,-72.4921875,anonymous,na,na
1,466,-346.203125,-53.4453125,anonymous,na,na
1,467,-339.9570313,-33.25390625,anonymous,na,na
1,468,-334.0546875,-23.31640625,anonymous,na,na
1,469,-317.75,-16.109375,anonymous,na,na
1,470,-263.6835938,-7.6875,anonymous,na,na
1,471,-178.7773438,-0.71484375,anonymous,na,na
1,472,-35.91796875,2.84375,anonymous,na,na
1,473,97.64453125,-0.828125,anonymous,na,na
1,474,170.8710938,-4.16015625,anonymous,na,na
1,475,261.2617188,-9.2890625,anonymous,na,na
1,476,316.0117188,-11.90625,anonymous,na,na
1,477,350.953125,-12.49609375,anonymous,na,na
1,478,394.5078125,-12.84765625,anonymous,na,na
