isPractice,frame,x,y,PROLIFIC_PID,STUDY_ID,SESSION_ID,Participant,StudyID,SessionID
1,81,-391.8476563,-201.2070313,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,82,-405.875,-180.2773438,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,83,-414.9609375,-132.4140625,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,84,-413.890625,-95.98828125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,85,-399.5390625,-65.484375,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,86,-368.3828125,-32.734375,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,87,-312.3359375,3.73046875,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,88,-242.0507813,37.26171875,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,89,-145.7773438,72.52734375,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,90,-56.48046875,99.6953125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,91,-5.85546875,107.8554688,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,92,50.36328125,109.484375,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,93,110.5351563,104.59375,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,94,164.7265625,95.02734375,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,95,208.0859375,82.75,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,96,235.6640625,70.2734375,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,97,243.4101563,63.42578125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,98,254.828125,45.96875,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,99,267.71875,17.67578125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,100,280.75,-19.2109375,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,101,292.1679688,-59.0625,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,102,299.7460938,-115.359375,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,103,298.7890625,-137.1328125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,104,289.4296875,-159.2539063,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,105,270.25,-179.1484375,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,106,241.265625,-193.2460938,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,107,190.265625,-203.4101563,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,108,75.59765625,-206.6953125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,109,-11.21484375,-203.2382813,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,110,-79.40625,-192.9179688,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,111,-127.359375,-180.4921875,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,112,-135.671875,-178.1328125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,113,-177.6875,-148.6953125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,114,-183.3554688,-136.6171875,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,115,-185.3515625,-125.7539063,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,116,-184.4453125,-117.6054688,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,117,-180.8828125,-103.625,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,118,-175.1015625,-84.3359375,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,119,-164.578125,-58.7265625,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,120,-147.9648438,-34.52734375,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,121,-91.35546875,4.3984375,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,122,-34.26171875,24.06640625,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,123,16.0859375,37.765625,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,124,52.58203125,45.92578125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,125,64.359375,47.828125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,126,85.80078125,49.53125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,127,100.2851563,49.8125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,128,108.5195313,49.8125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,129,109.1914063,49.8125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,130,109.1914063,49.8125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,131,109.1914063,49.8125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,132,110.0273438,49.6328125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,133,114.3867188,48.1796875,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,134,122.8125,45.30078125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,135,138.1367188,39.24609375,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,136,157.3789063,30.140625,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,137,164.2734375,26.6015625,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,138,166.8125,25.37890625,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,139,166.9570313,25.3125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,140,166.9570313,25.3125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,141,166.9570313,25.3125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,142,166.9570313,25.3125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,143,166.9570313,25.3125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,144,166.9570313,25.3125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,145,166.9570313,25.3125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,146,166.8398438,25.3125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,147,166.8085938,25.3125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
